INFO:root:A 2022-08-22 865800 1291100 1810000 4110100 1740300
INFO:root:ABBV 2020-10-30 8080100 4238700 7986300 6705600 11480200
INFO:root:ABNB 2023-04-21 3878100 3415200 3287100 7162200 3309700
INFO:root:ABNB 2023-05-10 4861800 3687700 4939900 6618800 10142900
INFO:root:ABT 2020-04-01 10903700 9351000 10530500 8360600 47540200
INFO:root:ABT 2022-10-19 5304800 4106200 6250900 6087200 7315800
INFO:root:ACGL 2020-04-07 2062700 5591700 1982300 2276400 2294100
INFO:root:ACGL 2020-06-10 3248300 2393500 2382300 3437900 1825900
INFO:root:ACN 2022-10-07 2559100 2924400 1893900 3143700 1843000
INFO:root:ADBE 2020-11-04 1896500 2677300 2125300 3127000 2479000
INFO:root:ADBE 2020-11-10 2479000 1758600 4524300 2401000 1956300
INFO:root:ADBE 2022-09-13 2450500 2564400 2385500 2276800 2998900
INFO:root:ADBE 2023-02-03 2350500 2615600 2663600 2572400 3362000
INFO:root:ADBE 2023-12-14 2080400 2605200 2498800 3270600 2968900
INFO:root:ADI 2020-02-24 2391100 1869000 3074300 4598900 3062400
INFO:root:ADI 2024-11-06 2055900 2084400 4258100 2922800 1599600
INFO:root:ADM 2020-04-21 3178500 3445500 2691000 2736900 3870200
INFO:root:ADP 2020-04-06 2997800 2522300 3513000 2905400 3808200
INFO:root:ADP 2020-10-28 1195600 1174600 1494500 1082900 2823300
INFO:root:ADSK 2023-11-29 1522200 2109800 4286500 912500 1441400
INFO:root:AES 2020-06-16 5488500 6287500 7941300 8830900 6952800
INFO:root:AFL 2020-04-06 6083000 4315900 7315700 5237000 4892600
INFO:root:AFL 2020-05-18 2570700 2938800 3698600 4405000 5193200
INFO:root:AIG 2021-12-21 4304600 5066200 4523900 6340200 11164300
INFO:root:AIZ 2020-05-18 521900 477900 536700 1018700 669700
INFO:root:AIZ 2020-06-11 539000 473600 608400 491100 408400
INFO:root:AIZ 2023-03-21 570400 465000 474400 866700 1276300
INFO:root:AKAM 2024-11-08 1954300 1373200 1748700 2436700 2179300
INFO:root:ALB 2020-06-11 1685100 1493700 1950000 1304100 962300
INFO:root:ALB 2023-12-11 2803400 3416700 4357500 5036100 3971300
INFO:root:ALB 2024-03-05 2081000 3540300 2733100 4563000 3279700
INFO:root:ALB 2024-09-11 2748100 2158200 1421600 3495900 2238700
INFO:root:ALGN 2023-01-23 1007300 807000 1226300 1156300 1210800
INFO:root:ALLE 2020-06-11 714800 774900 1535500 707900 612100
INFO:root:AMAT 2021-02-19 5001700 12147100 8157500 9260100 7225200
INFO:root:AMAT 2022-09-13 6795400 5922500 5567500 5233000 5094300
INFO:root:AMAT 2023-05-25 7349600 10891200 10255500 4709100 4604500
INFO:root:AMAT 2023-11-17 4979900 6699400 4125200 6505000 4383300
INFO:root:AMAT 2024-01-26 8133700 9157600 7176400 5053600 9729000
INFO:root:AMAT 2024-02-20 9539900 7085400 9692500 8437900 8622900
INFO:root:AMCR 2022-08-10 7324000 6620600 7925700 6968900 5410700
INFO:root:AMD 2020-06-11 46765300 44869100 53908300 39681700 79919100
INFO:root:AMD 2025-01-08 30501600 30203400 34256200 36785300 48020200
INFO:root:AMP 2023-03-24 933800 2111100 757700 1028100 1096100
INFO:root:AMZN 2022-02-04 77516000 74392000 78308000 59220000 87330000
INFO:root:AMZN 2023-08-04 52610700 46317400 41901500 42098500 51027600
INFO:root:AMZN 2024-04-26 30723800 55950000 37924900 37046500 34185100
INFO:root:AMZN 2024-10-31 31937100 21647400 29362100 27930800 35690200
INFO:root:ANET 2022-11-09 21069200 13444800 8249600 15840000 7578000
INFO:root:ANET 2023-08-01 8346000 10618000 15090400 15479600 29140000
INFO:root:ANET 2024-02-02 6463200 5436400 7680400 6818000 12233600
INFO:root:ANET 2024-08-02 17858400 9407600 11292800 17064800 22240000
INFO:root:AOS 2022-08-08 1945700 1015300 992500 720500 569100
INFO:root:APA 2021-05-11 5872100 9097600 7554500 9020000 8196700
INFO:root:APA 2022-11-29 6158800 7778300 5732300 5235200 2876300
INFO:root:APD 2020-11-11 842300 924200 856400 745400 1261700
INFO:root:APH 2020-06-09 5507200 7617200 7937200 8500000 14389200
INFO:root:APO 2020-04-06 2305500 1831700 1497000 2956400 1534800
INFO:root:APO 2020-04-21 3226500 2563300 2219700 1409900 1976100
INFO:root:APTV 2020-06-09 1431300 1857600 4762600 2349400 2504400
INFO:root:APTV 2023-03-15 1180800 1356400 1265700 1502400 2421600
INFO:root:APTV 2024-08-02 3001100 2032900 2412500 2264600 4139700
INFO:root:ARM 2024-02-28 21117300 22418100 29492400 20317000 26547900
INFO:root:ASML 2020-02-04 889100 1636100 965500 794100 1272600
INFO:root:ASML 2020-02-18 1775900 373000 789900 656100 742200
INFO:root:ASML 2020-06-08 649500 526100 717200 693900 884600
INFO:root:ASML 2020-10-15 550900 686700 539300 840300 1027900
INFO:root:ASML 2022-06-21 928900 1395100 965400 841700 1223100
INFO:root:ASML 2022-09-13 1145400 996900 745400 943300 1012800
INFO:root:ASML 2022-10-07 1141800 1084700 1452400 1954600 1193800
INFO:root:ASML 2023-05-10 738100 582900 614000 801400 518900
INFO:root:ASML 2023-05-24 709600 1162700 1459000 949400 856000
INFO:root:ASML 2023-07-27 2406200 2918800 2523700 1145300 1061900
INFO:root:ASML 2024-02-22 1297200 1206400 884300 1160400 1044100
INFO:root:ASML 2024-04-02 692500 860900 706000 572100 685700
INFO:root:ASML 2024-09-20 1318700 1069200 1150100 734600 1249000
INFO:root:ASML 2024-11-15 1758300 1726800 1520100 1711000 2453700
INFO:root:ASML 2025-01-13 1115100 1062900 2761100 1490200 1185400
INFO:root:AVGO 2022-09-02 17345000 25682000 16580000 18282000 32445000
INFO:root:AVGO 2024-11-06 23702300 17911500 26086600 17847000 13621300
INFO:root:AXON 2022-08-10 268600 226800 226300 258400 316000
INFO:root:AXP 2020-04-07 5565000 6075900 8313400 8338100 10023100
