Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
CPT,.SPX,1,-28.27,0,0,FALSE,FALSE,FALSE,FALSE,0
CRL,.SPX,2,1.14,50,0.888,FALSE,FALSE,FALSE,FALSE,0
CRWD,.NDX.SPX,3,149.35,66.667,6.405,FALSE,FALSE,FALSE,FALSE,0
CSGP,.NDX.SPX,1,-34.1,0,0,FALSE,FALSE,FALSE,FALSE,0
CSX,.NDX.SPX,1,-28.32,0,0,FALSE,FALSE,FALSE,FALSE,0
CTAS,.NDX.SPX,2,-80.79,0,0,FALSE,FALSE,FALSE,FALSE,0
CTRA,.SPX,1,106.08,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
CTSH,.NDX.SPX,3,286.76,66.667,5.949,FALSE,FALSE,FALSE,FALSE,0
CTVA,.SPX,2,189.85,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
CVS,.SPX,3,-19.17,33.333,0.707,FALSE,FALSE,FALSE,FALSE,0
CVX,.SPX.DJI,3,113.38,66.667,8.503,FALSE,FALSE,FALSE,FALSE,0
CZR,.SPX,3,87.42,66.667,0.875,FALSE,FALSE,FALSE,FALSE,0
DAL,.SPX,1,-94.9,0,0,FALSE,FALSE,FALSE,FALSE,0
DASH,.NDX,2,38.03,50,3.347,FALSE,FALSE,FALSE,FALSE,0
DDOG,.NDX,3,-194.42,0,0,FALSE,FALSE,FALSE,FALSE,0
DE,.SPX,2,-105.51,0,0,FALSE,FALSE,FALSE,FALSE,0
DECK,.SPX,2,28.63,50,0.539,FALSE,FALSE,FALSE,FALSE,0
DELL,.SPX,3,-23.84,33.333,3.244,FALSE,FALSE,FALSE,FALSE,0
DFS,.SPX,7,-476.23,0,0,FALSE,FALSE,FALSE,FALSE,0
DHI,.SPX,1,-40.92,0,0,FALSE,FALSE,FALSE,FALSE,0
DHR,.SPX,1,57.84,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
DIA,ETF,5,1.74,60,1.022,FALSE,FALSE,FALSE,FALSE,0
DIS,.SPX.DJI,2,3.14,50,1.766,FALSE,FALSE,FALSE,FALSE,0
DLTR,.SPX,1,-66.78,0,0,FALSE,FALSE,FALSE,FALSE,0
DOV,.SPX,2,36.51,50,2.882,FALSE,FALSE,FALSE,FALSE,0
DOW,.SPX,3,-18.13,66.667,1.05,FALSE,FALSE,FALSE,FALSE,0
DRI,.SPX,1,148.16,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
DVA,.SPX,1,-422.52,0,0,FALSE,FALSE,FALSE,FALSE,0
DVN,.SPX,5,273.95,60,1.702,FALSE,FALSE,FALSE,FALSE,0
EA,.NDX.SPX,1,-39.84,0,0,FALSE,FALSE,FALSE,FALSE,0
EBAY,.SPX,1,60.8,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ECL,.SPX,2,95.8,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
EFX,.SPX,1,53.5,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
EG,.SPX,2,4.72,50,0.915,FALSE,FALSE,FALSE,FALSE,0
EL,.SPX,3,216.29,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ELV,.SPX,1,20.82,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
EMN,.SPX,2,-54.06,50,0.732,FALSE,FALSE,FALSE,FALSE,0
EMR,.SPX,1,-100.47,0,0,FALSE,FALSE,FALSE,FALSE,0
ENPH,.SPX,2,-2.13,50,1.254,FALSE,FALSE,FALSE,FALSE,0
EOG,.SPX,3,-202.48,0,0,FALSE,FALSE,FALSE,FALSE,0
EPAM,.SPX,2,93.48,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
EQR,.SPX,3,187.85,33.333,2.581,FALSE,FALSE,FALSE,FALSE,0
ESS,.SPX,1,31.88,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ETN,.SPX,1,42.63,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
EW,.SPX,1,-29.1,0,0,FALSE,FALSE,FALSE,FALSE,0
EXPE,.SPX,5,493.04,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
EXR,.SPX,1,-33.96,0,0,FALSE,FALSE,FALSE,FALSE,0
F,.SPX,2,-177.95,0,0,FALSE,FALSE,FALSE,FALSE,0
FANG,.NDX.SPX,6,343.4,66.667,4.011,FALSE,FALSE,FALSE,FALSE,0
FCX,.SPX,10,157.02,50,2.611,FALSE,FALSE,FALSE,FALSE,0
FDX,.SPX,3,-204.48,33.333,0.285,FALSE,FALSE,FALSE,FALSE,0
FE,.SPX,1,34.32,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
FFIV,.SPX,1,-45.5,0,0,FALSE,FALSE,FALSE,FALSE,0
FI,.SPX,1,-81.62,0,0,FALSE,FALSE,FALSE,FALSE,0
FIS,.SPX,1,62.48,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
FITB,.SPX,3,-207.58,0,0,FALSE,FALSE,FALSE,FALSE,0
FMC,.SPX,1,82.17,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
FSLR,.SPX,2,-104.13,0,0,FALSE,FALSE,FALSE,FALSE,0
FTNT,.NDX.SPX,2,-97.32,0,0,FALSE,FALSE,FALSE,FALSE,0
FTV,.SPX,2,-93.9,0,0,FALSE,FALSE,FALSE,FALSE,0
GD,.SPX,1,-38.4,0,0,FALSE,FALSE,FALSE,FALSE,0
GDDY,.SPX,1,103.18,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
GE,.SPX,1,-12.96,0,0,FALSE,FALSE,FALSE,FALSE,0
GEN,.SPX,1,-129.54,0,0,FALSE,FALSE,FALSE,FALSE,0
GL,.SPX,2,-75.68,0,0,FALSE,FALSE,FALSE,FALSE,0
GM,.SPX,3,212.58,66.667,4.095,FALSE,FALSE,FALSE,FALSE,0
GNRC,.SPX,1,54.48,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
GOOG,.NDX.SPX,2,-76.37,0,0,FALSE,FALSE,FALSE,FALSE,0
GOOGL,.NDX.SPX,3,-100.09,0,0,FALSE,FALSE,FALSE,FALSE,0
GPC,.SPX,1,130.78,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
GPN,.SPX,2,12.96,50,1.159,FALSE,FALSE,FALSE,FALSE,0
GS,.SPX.DJI,1,65.46,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
HAL,.SPX,2,-194.94,0,0,FALSE,FALSE,FALSE,FALSE,0
HAS,.SPX,1,-101.88,0,0,FALSE,FALSE,FALSE,FALSE,0
HBAN,.SPX,1,189,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
HD,.SPX.DJI,2,6.05,50,1.105,FALSE,FALSE,FALSE,FALSE,0
HES,.SPX,2,-50.25,50,0.649,FALSE,FALSE,FALSE,FALSE,0
HIG,.SPX,2,276.98,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
HLT,.SPX,3,113.37,33.333,1.661,FALSE,FALSE,FALSE,FALSE,0
HON,.NDX.SPX.DJI,1,40.68,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
HPE,.SPX,4,532.82,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
HPQ,.SPX,4,-138.49,25,0.315,FALSE,FALSE,FALSE,FALSE,0
HSIC,.SPX,1,70.32,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
HUBB,.SPX,2,66.94,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
HUM,.SPX,1,36.28,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
HWM,.SPX,2,29.86,50,0.286,FALSE,FALSE,FALSE,FALSE,0
IBM,.SPX.DJI,2,-58.95,50,0.492,FALSE,FALSE,FALSE,FALSE,0
ICE,.SPX,1,-34.47,0,0,FALSE,FALSE,FALSE,FALSE,0
IEX,.SPX,1,65.73,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
INTC,.NDX.SPX,2,146.4,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
INTU,.NDX.SPX,1,-38.58,0,0,FALSE,FALSE,FALSE,FALSE,0
INVH,.SPX,1,88.32,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
IP,.SPX,1,114.08,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
IPG,.SPX,4,346.79,75,13.449,FALSE,FALSE,FALSE,FALSE,0
IQV,.SPX,2,-8.28,50,1.635,FALSE,FALSE,FALSE,FALSE,0
IR,.SPX,4,224.02,50,1.422,FALSE,FALSE,FALSE,FALSE,0
ISRG,.NDX.SPX,1,24.96,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
IT,.SPX,1,147.36,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
IVZ,.SPX,4,-8.32,50,0.745,FALSE,FALSE,FALSE,FALSE,0
J,.SPX,2,156.06,50,5.733,FALSE,FALSE,FALSE,FALSE,0
JBHT,.SPX,2,-63.72,0,0,FALSE,TRUE,FALSE,FALSE,172.45
JBL,.SPX,3,205.68,66.667,11.722,FALSE,FALSE,FALSE,FALSE,0
JNJ,.SPX.DJI,1,69.96,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
JNPR,.SPX,1,60.84,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
JPM,.SPX.DJI,1,-41,0,0,FALSE,FALSE,FALSE,FALSE,0
K,.SPX,1,-19.04,0,0,FALSE,FALSE,FALSE,FALSE,0
KDP,.NDX.SPX,1,-42.75,0,0,FALSE,FALSE,FALSE,FALSE,0
KEY,.SPX,4,-54.11,50,1.156,FALSE,FALSE,FALSE,FALSE,0
KEYS,.SPX,2,38.24,50,5.021,FALSE,FALSE,FALSE,FALSE,0
KIM,.SPX,3,50.77,33.333,1.406,FALSE,FALSE,FALSE,FALSE,0
KKR,.SPX,2,13.53,50,2.44,FALSE,FALSE,FALSE,FALSE,0
KLAC,.NDX.SPX,1,61.5,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
KMI,.SPX,1,103.04,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
KMX,.SPX,2,256.44,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
KO,.SPX.DJI,1,54.36,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
L,.SPX,1,49.12,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
LDOS,.SPX,1,81.95,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
LEN,.SPX,2,-111.45,0,0,FALSE,FALSE,FALSE,FALSE,0
LHX,.SPX,1,32.5,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
LII,.SPX,1,-27.36,0,0,FALSE,FALSE,FALSE,FALSE,0
LIN,.NDX.SPX,9,-60.79,44.444,0.607,FALSE,FALSE,FALSE,FALSE,0
LKQ,.SPX,2,54.84,50,2.509,FALSE,FALSE,FALSE,FALSE,0
LLY,.SPX,1,-31.71,0,0,FALSE,FALSE,FALSE,FALSE,0
LOW,.SPX,1,-30.36,0,0,FALSE,FALSE,FALSE,FALSE,0
LRCX,.NDX.SPX,1,-87.12,0,0,FALSE,FALSE,FALSE,FALSE,0
LVS,.SPX,3,178.77,66.667,4.95,FALSE,FALSE,FALSE,FALSE,0
LW,.SPX,1,-72.18,0,0,FALSE,FALSE,FALSE,FALSE,0
LYB,.SPX,4,216.45,75,7.02,FALSE,FALSE,FALSE,FALSE,0
LYV,.SPX,1,60.12,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MA,.SPX,2,-203.32,0,0,FALSE,FALSE,FALSE,FALSE,0
MAR,.NDX.SPX,4,298.42,50,4.845,FALSE,FALSE,FALSE,FALSE,0
MAS,.SPX,1,84.74,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MCD,.SPX.DJI,3,48.6,66.667,2.117,FALSE,FALSE,FALSE,FALSE,0
MCHP,.NDX.SPX,4,-157.58,25,0.356,FALSE,FALSE,FALSE,FALSE,0
MCK,.SPX,1,-34.56,0,0,FALSE,FALSE,FALSE,FALSE,0
MCO,.SPX,1,23.13,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MDB,.NDX,3,-156.1,33.333,0.127,FALSE,FALSE,FALSE,FALSE,0
MDT,.SPX,1,76.88,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MELI,.NDX,3,-33.19,66.667,0.751,FALSE,FALSE,FALSE,FALSE,0
MET,.SPX,4,368.45,75,6.843,FALSE,FALSE,FALSE,FALSE,0
META,.NDX.SPX,3,76.41,66.667,2.599,FALSE,FALSE,FALSE,FALSE,0
MGM,.SPX,2,-123.34,0,0,FALSE,FALSE,FALSE,FALSE,0
MHK,.SPX,2,171.04,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MKC,.SPX,1,65.66,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MLM,.SPX,1,65.25,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MMM,.SPX.DJI,2,-35.27,50,0.635,FALSE,FALSE,FALSE,FALSE,0
MO,.SPX,2,6.7,50,1.404,FALSE,FALSE,FALSE,FALSE,0
MOH,.SPX,1,-87.75,0,0,FALSE,FALSE,FALSE,FALSE,0
MPC,.SPX,7,19.96,57.143,2.677,FALSE,FALSE,FALSE,FALSE,0
MPWR,.SPX,3,5.7,33.333,1.23,FALSE,FALSE,FALSE,FALSE,0
MRNA,.SPX,1,98.55,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MRVL,.NDX,2,50.97,50,5.776,FALSE,FALSE,FALSE,FALSE,0
MSCI,.SPX,2,52.22,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MSFT,.NDX.SPX.DJI,3,34.71,66.667,0.897,FALSE,FALSE,FALSE,FALSE,0
MSI,.SPX,1,43.54,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
MSTR,.NDX,3,-26.88,33.333,2.279,FALSE,FALSE,FALSE,FALSE,0
MTB,.SPX,4,232.52,75,10.056,FALSE,FALSE,FALSE,FALSE,0
MTCH,.SPX,1,-25.76,0,0,FALSE,FALSE,FALSE,FALSE,0
MU,.NDX.SPX,2,52.59,50,2.907,FALSE,FALSE,FALSE,FALSE,0
NCLH,.SPX,3,172.68,66.667,4.798,FALSE,FALSE,FALSE,FALSE,0
NDSN,.SPX,1,63.21,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
