Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
TSN,.SPX,1,-34.35,0,0,FALSE,FALSE,FALSE,FALSE,0
TTD,.NDX,2,-125.21,50,0.325,FALSE,FALSE,FALSE,FALSE,0
TTWO,.NDX.SPX,2,8.36,50,1.619,FALSE,FALSE,FALSE,FALSE,0
TXN,.NDX.SPX,1,51.52,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
TXT,.SPX,1,127.65,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
UAL,.SPX,3,80.14,33.333,1.506,FALSE,FALSE,FALSE,FALSE,0
UBER,.SPX,4,55.34,50,3.57,FALSE,FALSE,FALSE,FALSE,0
UDR,.SPX,1,-59.8,0,0,FALSE,FALSE,FALSE,FALSE,0
UHS,.SPX,1,195.25,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
UPS,.SPX,4,-66.76,25,0.38,FALSE,FALSE,FALSE,FALSE,0
URI,.SPX,3,-226.74,33.333,0.221,FALSE,FALSE,FALSE,FALSE,0
USB,.SPX,3,-0.84,33.333,0.931,FALSE,FALSE,FALSE,FALSE,0
VLO,.SPX,2,147.7,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
VOO,ETF,3,-61.6,33.333,0.376,FALSE,FALSE,FALSE,FALSE,0
VRSN,.SPX,1,58.2,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
VRTX,.NDX.SPX,1,-46.96,0,0,FALSE,FALSE,FALSE,FALSE,0
VST,.SPX,1,-93.1,0,0,FALSE,FALSE,FALSE,FALSE,0
VTRS,.SPX,1,130.13,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
VZ,.SPX.DJI,1,-104.04,0,0,FALSE,FALSE,FALSE,FALSE,0
WAB,.SPX,1,79.05,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
WAT,.SPX,1,27.42,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
WBA,.SPX,1,-135.25,0,0,FALSE,FALSE,FALSE,FALSE,0
WBD,.NDX.SPX,3,-183.62,33.333,0.316,FALSE,FALSE,FALSE,FALSE,0
WDC,.SPX,4,46.3,50,1.186,FALSE,FALSE,FALSE,FALSE,0
WELL,.SPX,1,312.8,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
WFC,.SPX,2,-80.73,0,0,FALSE,FALSE,FALSE,FALSE,0
WRB,.SPX,2,170.27,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
WTW,.SPX,1,71.85,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
WY,.SPX,2,-40.04,50,1.029,FALSE,FALSE,FALSE,FALSE,0
WYNN,.SPX,3,301.91,66.667,4.46,FALSE,FALSE,FALSE,FALSE,0
XEL,.NDX.SPX,1,68,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
XOM,.SPX,4,213.56,75,3.74,FALSE,FALSE,FALSE,FALSE,0
XYL,.SPX,2,148.61,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ZBRA,.SPX,1,42.65,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ZS,.NDX,3,92.45,66.667,1.664,FALSE,FALSE,FALSE,FALSE,0
ZTS,.SPX,1,-29.94,0,0,FALSE,FALSE,FALSE,FALSE,0
